Word,Documents (With Count)
derrubamos,"[(379, 1)]"
sim.bebianno,"[(379, 1)]"
acabar.mais,"[(379, 1)]"
agônica,"[(379, 1)]"
00,"[(379, 1)]"
brio,"[(379, 1)]"
marchamos,"[(379, 1)]"
militares.já,"[(379, 1)]"
assustado.o,"[(379, 1)]"
pantomina,"[(379, 1)]"
preocupações.a,"[(379, 1)]"
continuarão,"[(379, 1)]"
mambembe,"[(379, 1)]"
laranjais,"[(379, 1)]"
cobre,"[(379, 1)]"
frangalhos,"[(379, 1), (542, 1)]"
gielow.o,"[(379, 1)]"
insensíveis.começa,"[(379, 1)]"
terça-feira.relata,"[(379, 1)]"
elegeu,"[(379, 1)]"
cercar,"[(379, 1)]"
sala.é,"[(379, 1)]"
improvisado,"[(379, 1)]"
gsi.,"[(379, 1)]"
03,"[(379, 2)]"
governo.até,"[(379, 1)]"
patos,"[(379, 1)]"
deflagrada,"[(379, 1)]"
ex-fardados,"[(379, 1)]"
bem.ganharam,"[(379, 1)]"
indica,"[(379, 2), (582, 2), (583, 1), (623, 1)]"
lambança,"[(379, 1)]"
planalto.afinal,"[(379, 1)]"
panelas,"[(379, 1)]"
incentivar,"[(380, 1)]"
acirrada,"[(380, 1)]"
26/3,"[(380, 1)]"
configurar,"[(380, 1)]"
procuradoria,"[(380, 2)]"
lei.,"[(380, 1), (566, 1)]"
resta,"[(380, 1), (496, 1), (525, 1), (602, 1)]"
sindicais.para,"[(380, 1)]"
respeitando,"[(380, 1)]"
31/3,"[(380, 1)]"
ultima,"[(380, 1)]"
contexto.,"[(380, 1)]"
motiva,"[(380, 1)]"
populares.já,"[(380, 1)]"
inafiançável,"[(380, 1)]"
questionaram,"[(380, 1)]"
ofensiva,"[(380, 1), (582, 1)]"
8.429,"[(380, 1)]"
dirigentes,"[(380, 1), (480, 1), (519, 1), (525, 1)]"
datas,"[(380, 1)]"
1.079,"[(380, 1)]"
comemorativas,"[(380, 1)]"
impeachment.,"[(380, 1)]"
administrativa.a,"[(380, 1)]"
militar.em,"[(380, 1)]"
alegadas,"[(380, 1)]"
pfdc,"[(380, 1)]"
irrelevantes,"[(380, 1)]"
vontades,"[(380, 1)]"
convergência,"[(380, 1)]"
repetida,"[(380, 1)]"
comemorativa,"[(380, 1)]"
promoveram,"[(380, 1), (471, 1)]"
harmonia,"[(380, 1)]"
instituir,"[(380, 1)]"
12.345/2010,"[(380, 1)]"
xliv,"[(380, 1)]"
imprescritível,"[(380, 1)]"
apoiasse,"[(380, 1)]"
assassinaram,"[(380, 1)]"
órgão.,"[(380, 1), (477, 1), (590, 1)]"
defensoria.a,"[(380, 1)]"
torturaram,"[(380, 1)]"
atenta,"[(380, 1)]"
fere,"[(380, 1)]"
sistemáticas,"[(380, 1)]"
objetivo.a,"[(380, 1)]"
vigorem,"[(380, 1)]"
estimula,"[(380, 1), (519, 1), (579, 1)]"
praticaria,"[(380, 1)]"
85,"[(380, 1)]"
decidisse,"[(380, 1), (573, 1), (627, 1)]"
direito.dessa,"[(380, 1)]"
1950,"[(380, 1)]"
arbitrárias,"[(380, 1)]"
disfarçada,"[(384, 1), (483, 1)]"
explicações.o,"[(384, 1)]"
gráfica,"[(384, 2)]"
verossimilhança,"[(384, 1)]"
.se,"[(384, 1), (406, 1), (465, 1), (559, 1)]"
contador,"[(384, 1)]"
cota,"[(384, 1), (613, 1)]"
beleza.o,"[(384, 1)]"
enterraram,"[(384, 1), (573, 1)]"
rasteira,"[(384, 1)]"
contratado,"[(384, 1), (401, 1)]"
274,"[(384, 1), (586, 1)]"
fadada,"[(384, 1)]"
lembre,"[(384, 1)]"
encomendou,"[(384, 1)]"
mini-retrato,"[(384, 1)]"
.luciano,"[(384, 1)]"
bailarinos,"[(384, 1)]"
paciência,"[(384, 1)]"
votos.a,"[(384, 1)]"
candidata.que,"[(384, 1)]"
bailarinas,"[(384, 1)]"
bailarina,"[(384, 1)]"
belíssimas,"[(384, 1)]"
urnas,"[(384, 1)]"
reproduzir,"[(384, 1), (548, 1), (577, 1)]"
colocasse,"[(384, 1)]"
descarado,"[(384, 1)]"
oficina,"[(384, 1)]"
martelinho,"[(384, 1)]"
suuuper,"[(384, 1)]"
raid,"[(385, 1)]"
1:15am,"[(385, 1)]"
israeli,"[(385, 1)]"
calmness,"[(385, 1)]"
intention,"[(385, 1)]"
munir566,"[(385, 1)]"
truly,"[(385, 1)]"
palestinian,"[(385, 2)]"
utterly,"[(385, 1)]"
this,"[(385, 1)]"
munir,"[(385, 1), (566, 1)]"
hussein,"[(385, 1)]"
occupiers,"[(385, 1)]"
children,"[(385, 1)]"
family,"[(385, 3)]"
up,"[(385, 1)]"
incredible,"[(385, 1)]"
night,"[(385, 1)]"
soul,"[(385, 1)]"
terrifying,"[(385, 1)]"
waking,"[(385, 1)]"
humilhado,"[(388, 1)]"
aberração,"[(388, 1)]"
bolsonaro.maia,"[(388, 1)]"
organizado.,"[(388, 1)]"
transformou-se,"[(388, 1)]"
bolas,"[(388, 1)]"
anão,"[(388, 1)]"
confundindo,"[(388, 1)]"
falou.,"[(388, 1), (548, 1)]"
turma.o,"[(388, 1)]"
forrada,"[(388, 1)]"
19/2,"[(390, 1)]"
socias,"[(390, 1)]"
rumor,"[(390, 1)]"
trocavam,"[(390, 1)]"
romance.marina,"[(390, 1)]"
pivô,"[(390, 1), (437, 1), (446, 1)]"
bruna,"[(390, 2), (446, 1), (450, 1), (462, 1), (477, 1), (554, 1)]"
especulam,"[(390, 1)]"
unfollow,"[(390, 1)]"
negrão,"[(390, 1)]"
ruiva,"[(390, 1)]"
ewbank,"[(390, 2), (446, 1), (462, 2), (625, 1)]"
salve,"[(390, 1)]"
marquezine,"[(390, 1), (446, 1), (450, 1), (462, 2)]"
madrinha,"[(390, 1), (462, 1)]"
burburinho,"[(390, 1), (603, 1)]"
spree,"[(390, 1)]"
desfez,"[(390, 1)]"
atrizes,"[(390, 3), (446, 1), (576, 1)]"
thaila,"[(390, 1)]"
ayala,"[(390, 1)]"
passado.durante,"[(390, 1)]"
acompanhe,"[(391, 1), (568, 1), (570, 1)]"
aovivoporta-voz,"[(391, 1)]"
salmaso,"[(393, 1), (543, 1)]"
tatuí,"[(393, 2), (543, 2)]"
desandaram,"[(393, 1), (543, 1)]"
entrevistas.o,"[(393, 1), (543, 1)]"
suzane,"[(393, 1), (543, 1)]"
ambulatorial,"[(393, 1), (543, 1)]"
angelikinha,"[(393, 1), (543, 1)]"
abordar,"[(393, 1), (543, 1), (545, 1)]"
tormento,"[(393, 1), (543, 1)]"
richthofen,"[(393, 1), (543, 1)]"
quiseram,"[(393, 1), (543, 1)]"
angélica,"[(393, 2), (543, 2)]"
fausteco.as,"[(393, 1), (543, 1)]"
lotava,"[(393, 1), (543, 1)]"
fausto,"[(393, 1), (452, 2), (543, 1)]"
diagnosticado,"[(393, 1), (543, 1)]"
internação,"[(393, 1), (543, 1), (568, 3)]"
processou,"[(393, 1), (543, 1)]"
braço-direito.há,"[(394, 1)]"
incontinência,"[(394, 1)]"
misteriosamente,"[(394, 1)]"
minúsculas,"[(394, 1)]"
decebado,"[(394, 1)]"
impensável,"[(394, 1)]"
políticos.ainda,"[(394, 1)]"
ex-capitão.o,"[(394, 1)]"
sobrem,"[(394, 1)]"
silencioso,"[(394, 1)]"
bofetada,"[(394, 1)]"
esparramos,"[(394, 1)]"
esperável,"[(394, 1)]"
senhoras.o,"[(394, 1)]"
curiosíssimos,"[(394, 1)]"
campanha.ainda,"[(394, 1)]"
batelada,"[(394, 1)]"
bebiannista,"[(394, 1)]"
não…,"[(395, 1)]"
vc,"[(395, 1), (443, 1)]"
russo,"[(395, 1)]"
maia.a,"[(396, 1), (445, 1)]"
desentendimento,"[(396, 1)]"
whatapps,"[(396, 1)]"
estranham,"[(396, 1)]"
emprestada,"[(396, 1)]"
perfeita,"[(396, 1)]"
cataclismo,"[(396, 1)]"
genro,"[(396, 1)]"
nervosos,"[(396, 1)]"
convencionou,"[(396, 1), (531, 1)]"
explosiva,"[(396, 1)]"
susto,"[(396, 1), (544, 1)]"
presos.se,"[(396, 1)]"
forma-se,"[(396, 1)]"
apanhando,"[(397, 1)]"
esfacelando,"[(397, 1)]"
desonesta.bebianno,"[(397, 1)]"
poeta.a,"[(397, 1)]"
rodo,"[(397, 1)]"
buraco,"[(397, 1)]"
atirando,"[(397, 1), (477, 1)]"
batata.numa,"[(397, 1)]"
apoplexia,"[(397, 1)]"
pés,"[(397, 1), (407, 1)]"
ui,"[(397, 1)]"
humanitária,"[(397, 1), (429, 1), (455, 2), (517, 2), (583, 5), (597, 1), (609, 4)]"
cavalgada,"[(397, 1)]"
alucinados,"[(397, 1)]"
conspiratório,"[(397, 1)]"
separarei,"[(397, 1)]"
esclarecido.terminou,"[(397, 1)]"
pochette.jogando,"[(397, 1)]"
vazou,"[(397, 1), (430, 1)]"
galáxia,"[(397, 1)]"
whatsapp.os,"[(397, 1)]"
globo.de,"[(397, 1)]"
osso,"[(397, 1)]"
caótica,"[(397, 1)]"
tonet,"[(397, 1)]"
bobinho,"[(397, 1)]"
mole,"[(397, 1), (553, 1), (611, 1)]"
corrupta,"[(397, 1)]"
twtter,"[(397, 1)]"
variar,"[(397, 1), (505, 1), (593, 1)]"
sumir,"[(397, 1)]"
histérico,"[(397, 1)]"
sabujo,"[(397, 1)]"
cavaram,"[(397, 1)]"
cair,"[(397, 2), (457, 1)]"
spock.carlos,"[(397, 1)]"
intencionada,"[(397, 1)]"
arrastando,"[(397, 1)]"
mamadeiras,"[(397, 1), (622, 1)]"
maluquinho,"[(397, 1)]"
imbroglio,"[(397, 1)]"
místico,"[(397, 1)]"
claro.mas,"[(398, 1)]"
mariano,"[(398, 1)]"
comunicação.e,"[(398, 1)]"
problematiza,"[(398, 1)]"
país.depende,"[(398, 1)]"
voo,"[(398, 1)]"
ilícitas,"[(398, 1), (444, 1)]"
.confira,"[(398, 1)]"
repetir.o,"[(398, 1)]"
ludibriar,"[(398, 1)]"
patrick,"[(398, 1)]"
noticiando,"[(398, 1)]"
premente,"[(398, 1)]"
cogitar,"[(398, 1)]"
pública.em,"[(398, 1)]"
concreto.por,"[(398, 1)]"
desacompanhado,"[(398, 1)]"
tempo.sem,"[(398, 1)]"
ligada,"[(398, 1), (572, 1)]"
corrido,"[(398, 1)]"
estranheza,"[(398, 1), (582, 1)]"
cometido,"[(398, 1), (424, 1), (577, 1)]"
impedida,"[(398, 1)]"
questionada,"[(398, 2)]"
questione,"[(398, 1)]"
sairia,"[(398, 1)]"
levanta,"[(398, 1), (430, 1), (577, 2)]"
pesam,"[(398, 1)]"
.embora,"[(398, 1), (457, 1)]"
fatos.o,"[(398, 1)]"
bloquinho,"[(399, 1), (569, 1)]"
gadêlha,"[(399, 1), (569, 1), (615, 1)]"
cliques,"[(399, 1), (560, 1), (569, 1)]"
preparações,"[(399, 1), (569, 1)]"
globo.ao,"[(399, 1), (569, 1)]"
ano.em,"[(399, 1), (569, 1)]"
web,"[(399, 1), (443, 1), (569, 1)]"
delírio,"[(399, 1), (569, 1)]"
rua.o,"[(399, 1)]"
acusaram,"[(400, 1), (627, 1)]"
metais,"[(400, 1)]"
jatinho,"[(400, 1)]"
justus.a,"[(400, 1)]"
detector,"[(400, 1)]"
rodoviária,"[(400, 3)]"
enchendo,"[(400, 1), (615, 1)]"
ticiane,"[(400, 3)]"
burguesia,"[(400, 1)]"
grávida,"[(400, 1), (593, 1), (599, 1)]"
um.,"[(400, 1)]"
relacionamento,"[(400, 1), (573, 1), (615, 1)]"
filinha,"[(400, 1)]"
aeroporto,"[(400, 4), (416, 1), (433, 1), (506, 1), (573, 1)]"
tralli,"[(400, 1)]"
lotado.,"[(400, 1)]"
desabafou,"[(400, 1)]"
preconceito.,"[(400, 1)]"
print,"[(400, 1)]"
rafaella,"[(400, 1)]"
cachê,"[(401, 1)]"
9ª,"[(401, 1)]"
hassum,"[(401, 1)]"
tjrj,"[(401, 1)]"
demand,"[(401, 1)]"
telefônica,"[(401, 1)]"
operadora,"[(401, 1)]"
movido,"[(401, 1), (404, 1), (465, 1)]"
caruso,"[(401, 1), (615, 1)]"
​a,"[(401, 1)]"
oi,"[(401, 2)]"
oandreherrera,"[(402, 1)]"
hhaahahhaahahahhahaahhahahahahahahaahhahaa,"[(402, 1)]"
vivasso,"[(402, 1)]"
helen,"[(403, 1)]"
herren,"[(403, 1)]"
stewart,"[(403, 1)]"
temporada.assim,"[(403, 1)]"
controversas,"[(403, 1)]"
asiática,"[(403, 1), (433, 1)]"
15ª,"[(403, 1)]"
desabafou.o,"[(403, 1)]"
dispensada,"[(403, 1)]"
zimmerman,"[(403, 1)]"
acompanhava,"[(403, 1), (457, 2)]"
trem,"[(403, 1)]"
vadia,"[(403, 1)]"
gries,"[(403, 1)]"
favorita,"[(403, 1)]"
cbs,"[(403, 1)]"
reality.aaryn,"[(403, 1)]"
confinados,"[(403, 1)]"
condutor,"[(403, 1)]"
guaraldo,"[(403, 1)]"
uol.boa,"[(403, 1)]"
andy,"[(403, 1)]"
punidos,"[(403, 1)]"
cedeu,"[(403, 1)]"
.ginamarie,"[(403, 1)]"
ginamarie,"[(403, 2)]"
enquetes,"[(403, 1)]"
caírem,"[(403, 1)]"
depara,"[(403, 1)]"
pay-per-view,"[(403, 1)]"
concursos,"[(403, 1)]"
chegarem,"[(403, 1), (572, 1)]"
sérias,"[(403, 1), (577, 2)]"
preconceituosos,"[(403, 1)]"
beleza,"[(403, 1)]"
renderam,"[(403, 1)]"
preparadora,"[(403, 1)]"
clawson,"[(403, 3)]"
punições,"[(403, 1)]"
confinamento,"[(403, 1), (417, 1), (581, 1)]"
candice,"[(403, 1)]"
mineira.na,"[(403, 1)]"
globo.por,"[(403, 1)]"
sperling,"[(403, 1), (581, 1)]"
globoplay,"[(403, 1)]"
escuro,"[(403, 1), (409, 1)]"
aaryn,"[(403, 2)]"
ostracismo,"[(403, 1)]"
vê-las,"[(403, 1)]"
spencer,"[(403, 1)]"
ele.o,"[(404, 1)]"
elegeu.rodrigo,"[(404, 1)]"
coisa.sem,"[(404, 1)]"
diatribes,"[(404, 1)]"
dúzia.com,"[(404, 1)]"
destinada,"[(404, 1), (579, 1)]"
salvo-conduto,"[(404, 1), (466, 1)]"
rusga,"[(404, 1)]"
burgueses,"[(404, 1)]"
concreta,"[(404, 1)]"
falacioso.e,"[(404, 1)]"
singulares,"[(404, 1), (568, 1)]"
inexistência,"[(404, 1)]"
precisam.a,"[(404, 1)]"
submetendo,"[(404, 1)]"
diáfano,"[(404, 1)]"
latente,"[(404, 1)]"
avalizador,"[(404, 1)]"
insana,"[(404, 1)]"
monárquico,"[(404, 1)]"
relevante.como,"[(404, 1)]"
farão,"[(404, 1), (583, 1)]"
fantoche,"[(404, 1), (517, 1), (525, 1)]"
impraticável.penosa,"[(404, 1)]"
historicamente,"[(404, 1)]"
fiquem,"[(404, 1)]"
nitidamente,"[(404, 1)]"
intelectualmente.o,"[(404, 1)]"
escanteado,"[(404, 1)]"
elevou,"[(404, 1), (488, 1)]"
benesses,"[(404, 1)]"
tornam,"[(404, 1), (415, 1)]"
destino.o,"[(404, 1)]"
mercê,"[(404, 1), (572, 1)]"
governo.com,"[(404, 2)]"
incapacitado,"[(404, 1)]"
encarregados,"[(404, 1)]"
impolutos,"[(404, 1)]"
mazela,"[(404, 1)]"
previdência.desejo,"[(404, 1)]"
despenca,"[(404, 1)]"
turvo,"[(404, 1)]"
jaburu,"[(404, 1)]"
enxergaria,"[(404, 1)]"
egolatria,"[(404, 1)]"
burocratas,"[(404, 1)]"
inviabilizam,"[(404, 1)]"
refém.a,"[(404, 1)]"
pífia,"[(404, 1)]"
fina,"[(404, 1), (492, 1), (555, 1)]"
maia.coincidentemente,"[(406, 1)]"
moro.ao,"[(406, 1)]"
jargão,"[(406, 1)]"
fartas,"[(406, 1)]"
exemplo.para,"[(406, 1)]"
pedras,"[(406, 2), (457, 3)]"
ronald,"[(406, 1)]"
intimidação.mas,"[(406, 1)]"
brilhantismo,"[(406, 1)]"
falsificação,"[(406, 1)]"
rio.entre,"[(406, 1)]"
despertado,"[(406, 1)]"
foragido.outro,"[(406, 1)]"
administrativos,"[(406, 1), (534, 1)]"
.até,"[(406, 1)]"
psol-rj,"[(406, 1), (520, 1), (534, 1)]"
ocultação,"[(406, 1)]"
irremediavelmente,"[(406, 1), (632, 1)]"
sim.a,"[(406, 1)]"
fórceps,"[(406, 1)]"
isca,"[(406, 1)]"
cravar,"[(406, 1)]"
temer.como,"[(406, 1)]"
semana.freixo,"[(406, 1)]"
combativo,"[(406, 1)]"
zambelli,"[(406, 1)]"
nóbrega,"[(406, 2)]"
carla,"[(406, 1)]"
escalado,"[(406, 1)]"
eduardo.do,"[(406, 1)]"
pt-sp,"[(406, 1), (520, 1)]"
franco.o,"[(406, 1)]"
pr-sp,"[(406, 1)]"
rio.nóbrega,"[(406, 1)]"
chave,"[(406, 1), (486, 1), (544, 1)]"
trunfo,"[(406, 1)]"
estado.seus,"[(406, 1)]"
galhardia,"[(406, 1)]"
bope,"[(406, 1), (477, 3)]"
evidenciado,"[(406, 1)]"
moro.esse,"[(406, 1)]"
extrativista,"[(407, 1)]"
cassurubá,"[(407, 1)]"
declarou.na,"[(407, 1)]"
amarrada.sobre,"[(407, 1)]"
pôde,"[(407, 1)]"
estrangulamento,"[(407, 1)]"
mangues.alice,"[(407, 1)]"
eucalipto,"[(407, 1)]"
viemos,"[(407, 1), (471, 1)]"
vasto,"[(407, 1)]"
empenham,"[(407, 1)]"
cerqueira,"[(407, 2)]"
comunicando,"[(407, 1)]"
aprofundamento,"[(407, 2)]"
determinaram,"[(407, 1)]"
aprofundada,"[(407, 1)]"
perfuração,"[(407, 1)]"
degradação,"[(407, 1)]"
boletins,"[(407, 1)]"
perícia,"[(407, 3), (457, 2)]"
chaves,"[(407, 1)]"
investigativa,"[(407, 1)]"
solla,"[(407, 1)]"
rosane,"[(407, 8)]"
dedicou,"[(407, 1)]"
latrocínio.a,"[(407, 1)]"
alterada,"[(407, 1)]"
humanos.o,"[(407, 1), (627, 1)]"
policiais.o,"[(407, 1)]"
atados,"[(407, 1)]"
pcdob-ba,"[(407, 1)]"
premeditação,"[(407, 1)]"
solicitará,"[(407, 1)]"
frisou,"[(407, 1)]"
investigações.rosane,"[(407, 1)]"
integrava,"[(407, 1)]"
bernardino,"[(407, 1)]"
viçosa,"[(407, 2)]"
descartou,"[(407, 1)]"
policial.tuian,"[(407, 1)]"
perfurações,"[(407, 1)]"
delegada,"[(407, 3), (525, 1)]"
tuian,"[(407, 3)]"
ambiental.na,"[(407, 1)]"
alento,"[(407, 1)]"
fluvial,"[(407, 1)]"
especializadas,"[(407, 1)]"
cedida,"[(407, 1)]"
procedimento,"[(407, 1)]"
góis,"[(407, 2), (572, 3)]"
lutado,"[(407, 1)]"
valéria,"[(407, 1)]"
depin,"[(407, 2)]"
bárbaro,"[(407, 1)]"
extermínio,"[(407, 1), (454, 1)]"
ocasião.na,"[(407, 1)]"
resex,"[(407, 1)]"
viçosa-ba,"[(407, 1)]"
lutadora,"[(407, 1)]"
desqualificação,"[(407, 1), (603, 1)]"
pronunciou-se,"[(407, 1)]"
's,"[(408, 1), (587, 1)]"
permissivo,"[(408, 1)]"
colaborador,"[(408, 1), (430, 1), (572, 1)]"
baby,"[(408, 1)]"
jairmearrependi,"[(408, 1), (438, 2)]"
arrependi,"[(408, 1)]"
massacrá-lo,"[(408, 1)]"
toby,"[(409, 2)]"
conto,"[(409, 1)]"
incentiva,"[(409, 1)]"
bilhões.o,"[(409, 1)]"
porta-vozes,"[(409, 1)]"
dammit,"[(409, 3)]"
atos.sobre,"[(409, 1)]"
decapitado,"[(409, 2)]"
falanges,"[(409, 1), (596, 1)]"
vendidos,"[(409, 1)]"
escreveu-se,"[(409, 1)]"
resistência.edgar,"[(409, 1)]"
453,"[(409, 1)]"
pautada,"[(409, 1), (484, 1)]"
sobrava,"[(409, 1)]"
tacanha,"[(409, 1)]"
cão,"[(409, 1)]"
horas.como,"[(409, 1)]"
allan,"[(409, 1), (555, 1), (577, 1)]"
abstenção.era,"[(409, 1)]"
fanfarrão,"[(409, 1)]"
impositivo,"[(409, 1)]"
enterro,"[(409, 2)]"
apequenam,"[(409, 1)]"
gula,"[(409, 1)]"
rápido.a,"[(409, 1)]"
túnel,"[(409, 1)]"
ração.,"[(409, 1)]"
cachorros.há,"[(409, 1)]"
pautas-bomba,"[(409, 1)]"
apanha,"[(409, 1)]"
"4,6","[(409, 1)]"
aposte,"[(409, 1)]"
poe,"[(409, 1), (555, 1)]"
regem,"[(409, 1), (566, 1)]"
448,"[(409, 1)]"
andou,"[(409, 1)]"
para.se,"[(410, 1)]"
90.de,"[(410, 1)]"
kogut,"[(410, 1)]"
paulista.o,"[(410, 1)]"
confortável,"[(410, 1), (549, 1), (557, 1), (579, 1), (629, 1)]"
telenovelas,"[(410, 1)]"
"31,3","[(410, 1)]"
folhetins,"[(410, 1)]"
patricia,"[(410, 1)]"
exibidos,"[(410, 1), (480, 1), (516, 1)]"
trabalho.porém,"[(412, 1)]"
segunda-feira.durante,"[(412, 1)]"
aconselhado,"[(412, 1)]"
fraturou,"[(412, 1)]"
âncora,"[(412, 1), (443, 1), (553, 1), (592, 1), (599, 1)]"
vértebras,"[(412, 1)]"
tropeçou,"[(412, 1)]"
klein,"[(412, 1)]"
molho,"[(412, 1)]"
casoy,"[(412, 1)]"
boris,"[(412, 1)]"
tagliaferri,"[(412, 1)]"
virtualmente,"[(415, 1)]"
prezado,"[(415, 1)]"
comercialização,"[(415, 1)]"
safra,"[(415, 1)]"
matarem,"[(415, 1), (448, 1)]"
exército.é,"[(415, 1)]"
cartuchos,"[(415, 1)]"
governados.a,"[(415, 1)]"
imperador.daqui,"[(415, 1)]"
-inclusive,"[(415, 1)]"
renome,"[(415, 1)]"
globo.a,"[(415, 1)]"
identificação,"[(415, 1), (577, 1), (627, 1)]"
controlados,"[(415, 1)]"
recarregadas,"[(415, 1)]"
escusável,"[(415, 1)]"
armamento.,"[(415, 1)]"
cadeia.como,"[(415, 1)]"
fm,"[(416, 2)]"
gravação,"[(416, 1), (508, 1), (594, 1)]"
radiobandnewsfm,"[(416, 1)]"
galeão,"[(416, 1)]"
bandnews,"[(416, 2), (480, 1)]"
leifert,"[(417, 1)]"
"55,72","[(417, 1)]"
khalil,"[(417, 1)]"
maycon,"[(417, 1), (467, 1), (559, 2), (581, 3), (628, 2)]"
comemorou.a,"[(417, 1)]"
bbb19,"[(417, 1), (581, 2)]"
tarja,"[(417, 1)]"
schroeder,"[(417, 1)]"
fofocalizando,"[(417, 1), (444, 1), (460, 1), (516, 2), (546, 1)]"
intitulada,"[(417, 1), (566, 1)]"
esquilo,"[(417, 1)]"
dublou,"[(417, 1), (592, 1)]"
fofocaviralizando,"[(417, 1)]"
apresentador.o,"[(417, 1)]"
tiago,"[(417, 1)]"
hana,"[(417, 1)]"
tela,"[(417, 1), (559, 1)]"
registra,"[(418, 1), (459, 1), (567, 1)]"
rolo,"[(418, 2)]"
consumados,"[(418, 1), (465, 1)]"
figurava,"[(418, 1), (457, 1)]"
regida,"[(418, 1)]"
cheguem,"[(418, 1)]"
apressar,"[(418, 1)]"
impublicável,"[(418, 1)]"
esfarrapado.nos,"[(418, 1)]"
pretendendo,"[(418, 1)]"
desfile,"[(418, 1), (550, 1)]"
isolado,"[(418, 1)]"
março.a,"[(418, 1)]"
roto,"[(418, 1)]"
envolveria,"[(418, 1)]"
anuncia,"[(418, 1), (583, 5)]"
compressor,"[(418, 2)]"
feriado,"[(418, 1)]"
senado.como,"[(418, 1)]"
remessas,"[(418, 1)]"
invejável,"[(418, 1)]"
verde-oliva,"[(418, 1)]"
animarão,"[(418, 1)]"
alcolumbre,"[(418, 1), (502, 2), (535, 1), (551, 1), (586, 1)]"
primarismos,"[(418, 1)]"
passado.é,"[(418, 1)]"
recibo,"[(418, 1), (552, 1), (620, 1)]"
bobo.daí,"[(418, 1)]"
complicaria,"[(418, 1)]"
cinzas,"[(418, 1)]"
fantasias.é,"[(418, 1)]"
atendidos,"[(418, 1)]"
tosa,"[(418, 1)]"
"7,5","[(418, 1)]"
acenou,"[(418, 1)]"
momo,"[(418, 1), (633, 1)]"
nomeações.o,"[(418, 1)]"
mesma.o,"[(418, 1)]"
dá-cá,"[(418, 1)]"
reeleitos,"[(418, 1)]"
escalão.para,"[(418, 1)]"
deixá-lo,"[(419, 1)]"
parecido,"[(419, 1), (577, 1)]"
lide.em,"[(419, 1)]"
saga,"[(420, 1)]"
continua…,"[(420, 1)]"
inrisincero,"[(420, 1)]"
inri,"[(420, 1)]"
esticou,"[(421, 1)]"
momento.desde,"[(421, 1)]"
cansativo,"[(421, 1)]"
"11,4","[(421, 1)]"
"6,8","[(421, 1), (577, 1)]"
pontos.conforme,"[(421, 1)]"
calvário,"[(421, 1)]"
manhãs.por,"[(421, 1)]"
"7,0","[(421, 1)]"
26/11/18,"[(421, 1)]"
–de,"[(421, 1)]"
manaus,"[(421, 1), (582, 1)]"
e…,"[(421, 1)]"
–especialmente,"[(421, 1)]"
kantar,"[(421, 1)]"
"6,1","[(421, 1)]"
matinal,"[(421, 1), (458, 1), (567, 1), (630, 1)]"
telejornal,"[(421, 1), (443, 2), (567, 1), (599, 1)]"
belém.de,"[(421, 1)]"
"13,5","[(421, 1)]"
sintonizados,"[(421, 1)]"
goiânia,"[(421, 1)]"
isolada,"[(421, 1)]"
23/11/18,"[(421, 1)]"
meio-dia,"[(421, 1)]"
18/02/19,"[(421, 1)]"
encolheu,"[(421, 1), (579, 1)]"
media,"[(421, 1)]"
31/08/18,"[(421, 1)]"
comparativo,"[(421, 1)]"
"5,0","[(421, 1)]"
"10,2","[(421, 1)]"
sentido.,"[(424, 1)]"
espontânea,"[(424, 1)]"
consignei,"[(424, 1)]"
decreta,"[(424, 1)]"
concluir,"[(424, 1), (471, 1)]"
probatórios,"[(424, 1)]"
inaugurada,"[(424, 1), (583, 1)]"
vedada,"[(424, 1)]"
derrotas,"[(424, 1), (519, 1), (535, 1), (573, 1)]"
ab,"[(424, 1)]"
initio,"[(424, 1)]"
dissimulado,"[(424, 1)]"
reputação,"[(424, 1), (603, 1)]"
merecem,"[(424, 1)]"
ministerial,"[(424, 1), (486, 1)]"
conjecturas,"[(424, 1)]"
129,"[(424, 1)]"
preliminares,"[(424, 1)]"
magistrados,"[(424, 1), (545, 1)]"
parágrafos,"[(424, 1)]"
decididas,"[(424, 1)]"
oportunas,"[(424, 1)]"
alegado,"[(424, 1)]"
inquisitoriais,"[(424, 1)]"
linhas,"[(424, 1), (445, 1)]"
sólidos,"[(424, 1)]"
evidenciem,"[(424, 1)]"
desviados,"[(424, 1)]"
articulista,"[(424, 1)]"
obediência,"[(424, 1)]"
conexos,"[(424, 1)]"
afirmarem,"[(424, 1)]"
imparcialidade,"[(424, 1), (566, 1)]"
caberá,"[(424, 1)]"
jurisdicional,"[(424, 3)]"
persecução,"[(424, 1)]"
descritos,"[(424, 1)]"
adversários.logo,"[(424, 1)]"
tanto.,"[(424, 1)]"
singela,"[(424, 1)]"
jatoo,"[(424, 1)]"
causaria,"[(424, 1)]"
velada,"[(424, 1), (525, 1), (603, 1)]"
brasileiro.,"[(424, 1)]"
interessadas,"[(424, 2)]"
reconheça,"[(424, 1)]"
lenin,"[(427, 1)]"
masha,"[(427, 2)]"
doutrinar,"[(427, 1)]"
nekrássov.o,"[(427, 1)]"
acredite,"[(427, 1)]"
dissociada,"[(427, 1)]"
mantra,"[(427, 1)]"
vociferada,"[(427, 1)]"
russa,"[(427, 1)]"
guevara.há,"[(427, 1)]"
escreveu.episódio,"[(427, 1)]"
escritores,"[(427, 1)]"
